Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	Gender	Age_at_recording	band_url	annotations
STIM-053	C	Clean	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3854.51	110	4/4	EXCE-108	audio/STIM-053.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-053.png	2113.462021	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-054	C	Clean_FLAT	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	4005.44	110	4/4	EXCE-108	audio/STIM-054.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-054.png	1830.651954	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-055	C	Clean	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3808.07	110	4/4	EXCE-124	audio/STIM-055.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-055.png	2680.297513	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-056	C	Clean_FLAT	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3506.21	110	4/4	EXCE-124	audio/STIM-056.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-056.png	2470.321948	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-057	C	Screaming_NV	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	2925.71	161	4/4	EXCE-064	audio/STIM-057.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-057.png	2538.030286	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-058	C	Screaming_V	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	2728.34	161	4/4	EXCE-064	audio/STIM-058.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-058.png	2356.795964	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-059	C	Screaming_NV	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2658.68	180	4/4	EXCE-155	audio/STIM-059.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-059.png	2786.707988	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-060	C	Screaming_V	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2774.78	180	4/4	EXCE-155	audio/STIM-060.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-060.png	2951.706135	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-061	C	Screaming_NV	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4249.25	140	4/4	EXCE-179	audio/STIM-061.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-061.png	2582.695894	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-062	C	Screaming_V	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4237.64	140	4/4	EXCE-179	audio/STIM-062.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-062.png	2581.9876	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-063	C	Screaming_NV	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""	1915.65	115	4/4	EXCE-087	audio/STIM-063.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-063.png	3313.258415	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-064	C	Screaming_V	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""	2310.39	115	4/4	EXCE-087	audio/STIM-064.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-064.png	3018.099807	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
