Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Lyrics	Spotify_URL	MP3_Path	Date_collected	
EXCE-071	Screaming	Architects	The Here and Now	37	Stay Young Forever	2012	1083511	26	3:02	1:05-1:09	"""Is there any point to this?"""	https://open.spotify.com/track/7AjP5utWoSzF5S4NpMHcEz?si=c12afaf6eb8b49d7	excerpts_audio/EXCE-071.mp3	19/3/2025	
EXCE-072	Screaming	Architects	The Here and Now	37	Year in Year Out/Up and Away	2012	1049614	26	7:27	3:54-3:59	"""Live everyday like your last"""	https://open.spotify.com/track/4N4pBQtZ9tjHjbb6uxQHW0?si=87a92f09968442b0	excerpts_audio/EXCE-072.mp3	19/3/2025	
EXCE-073	Screaming	Cradle of Filth	The Screaming Of The Valkyries	18	Malignant Perfection	2025	960194	10	6:45			https://open.spotify.com/track/0IJywnWQz1lwAFg4IeXgHG?si=9b8fa8b2d3194d6e	excerpts_audio/EXCE-073.mp3	22/3/2025	
EXCE-074	Screaming	Cradle of Filth	The Screaming Of The Valkyries	18	White Hellebore	2025	223978	13	5:04			https://open.spotify.com/track/1hR75TMqPASQtbtsdh8ZXq?si=6672c6389d744071	excerpts_audio/EXCE-074.mp3	22/3/2025	
EXCE-075	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	20	A Crescendo Of Passion Bleeding	2012	279185	11	5:30			https://open.spotify.com/track/7DBbEM3oC1ImIOpYl4PWsT?si=418e7fafd60942af	excerpts_audio/EXCE-075.mp3	22/3/2025	
EXCE-076	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	20	Summer Dying Fast	2012	337301	12	5:39			https://open.spotify.com/track/64WyXSBeo3bnvu0eQRHOWd?si=a23d8a5aad66404d	excerpts_audio/EXCE-076.mp3	22/3/2025	
EXCE-077	Screaming	Cradle of Filth	The Principle Of Evil Made Flesh	20	Of Mist And Midnight Skies	2012	330436	12	8:09			https://open.spotify.com/track/2xzzRkeyj6k1dRHscD1t8i?si=72ad8e6461034442	excerpts_audio/EXCE-077.mp3	22/3/2025	
EXCE-078	Screaming	Cradle of Filth	Thornography	26	Foetus Of A New Day Kicking	2006	2456287	13	3:43			https://open.spotify.com/track/7B4cLdJHXgbZJMRwGun2lS?si=d6c8882df89c427e	excerpts_audio/EXCE-078.mp3	22/3/2025	
EXCE-079	Screaming	Cradle of Filth	Thornography	26	Lovesick for Mina	2006	553564	17	7:00			https://open.spotify.com/track/6NA9XsV1pzeW2QqPn8pi4g?si=7192bf27edb94cbf	excerpts_audio/EXCE-079.mp3	22/3/2025	
EXCE-080	Screaming	Cradle of Filth	Thornography	26	Libertina Grimm	2006	632870	18	5:51			https://open.spotify.com/track/3hFv6Z14cs5oE5Ud3lv5xp?si=9fc94f4e3eb942cd	excerpts_audio/EXCE-080.mp3	22/3/2025	
EXCE-081	Screaming	Cradle of Filth	Thornography	26	I Am the Thorn	2006	655581	18	7:06			https://open.spotify.com/track/2PGEx40QtBqtKqBziHMYVA?si=bb4583ece50e4828	excerpts_audio/EXCE-081.mp3	22/3/2025	
EXCE-082	Screaming	Chelsea Grin	Self Inflicted	30	Welcome Back	2016	1419090	19	2:59			https://open.spotify.com/track/2DNTAwogfsz1bajqc9tiWZ?si=1356aba1556e4888	excerpts_audio/EXCE-082.mp3	22/3/2025	
EXCE-083	Screaming	Chelsea Grin	Self Inflicted	30	Life Sentence	2016	1072230	19	3:12			https://open.spotify.com/track/3DuKLaQzBjrOBwrbxrntd2?si=440e9069455c491f	excerpts_audio/EXCE-083.mp3	22/3/2025	
