Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Rhythm	Melody	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	annotations	Age_at_recording
VOX-131	K	Growling_NV	Chelsea Grin	Flood Lungs	"""A single light among the void"""				95	6/8	EXCE-088	audio/VOX-131.wav	Geoffrey Uhal	20250529				
VOX-132	K	Growling_V	Chelsea Grin	Flood Lungs	"""A single light among the void"""				95	6/8	EXCE-088	audio/VOX-132.wav	Geoffrey Uhal	20250529				
VOX-133	K	Clean	Dying Fetus	We Are Your Enemy	"""let's spread the wealth among us"""				180	4/4	EXCE-019	audio/VOX-133.wav	Geoffrey Uhal	20250529				
VOX-134	K	Clean_FLAT	Dying Fetus	We Are Your Enemy	"""let's spread the wealth among us"""				180	4/4	EXCE-019	audio/VOX-134.wav	Geoffrey Uhal	20250529				
VOX-135	K	Screaming_NV	Dying Fetus	We Are Your Enemy	"""let's spread the wealth among us"""				180	4/4	EXCE-019	audio/VOX-135.wav	Geoffrey Uhal	20250529				
VOX-136	K	Screaming_V	Dying Fetus	We Are Your Enemy	"""let's spread the wealth among us"""				180	4/4	EXCE-019	audio/VOX-136.wav	Geoffrey Uhal	20250529				
VOX-137	K	Growling_NV	Dying Fetus	We Are Your Enemy	"""let's spread the wealth among us"""				180	4/4	EXCE-019	audio/VOX-137.wav	Geoffrey Uhal	20250529				
VOX-138	K	Growling_V	Dying Fetus	We Are Your Enemy	"""let's spread the wealth among us"""				180	4/4	EXCE-019	audio/VOX-138.wav	Geoffrey Uhal	20250529				
VOX-139	K	Clean	Carcass	Hepatic Tissue Fermentation	"""neural cells fataly quenched"""				220	4/4	EXCE-010	audio/VOX-139.wav	Geoffrey Uhal	20250529				
VOX-140	K	Clean_FLAT	Carcass	Hepatic Tissue Fermentation	"""neural cells fataly quenched"""				220	4/4	EXCE-010	audio/VOX-140.wav	Geoffrey Uhal	20250529				
VOX-141	K	Screaming_NV	Carcass	Hepatic Tissue Fermentation	"""neural cells fataly quenched"""				220	4/4	EXCE-010	audio/VOX-141.wav	Geoffrey Uhal	20250529				
VOX-142	K	Screaming_V	Carcass	Hepatic Tissue Fermentation	"""neural cells fataly quenched"""				220	4/4	EXCE-010	audio/VOX-142.wav	Geoffrey Uhal	20250529				
VOX-143	K	Growling_NV	Carcass	Hepatic Tissue Fermentation	"""neural cells fataly quenched"""				220	4/4	EXCE-010	audio/VOX-143.wav	Geoffrey Uhal	20250529				
VOX-144	K	Growling_V	Carcass	Hepatic Tissue Fermentation	"""neural cells fataly quenched"""				220	4/4	EXCE-010	audio/VOX-144.wav	Geoffrey Uhal	20250529				
VOX-145	N	Clean	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-145.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-146	N	Clean_FLAT	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-146.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-147	N	Screaming_NV	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-147.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-148	N	Screaming_V	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-148.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-149	N	Growling_NV	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-149.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-150	N	Growling_V	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""				105	4/4	EXCE-093	audio/VOX-150.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-151	N	Clean	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-151.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-152	N	Clean_FLAT	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-152.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-153	N	Screaming_NV	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-153.wav	Autumn Mouzon	20250531			Female vocalist	
VOX-154	N	Screaming_V	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""				135	4/4	EXCE-056	audio/VOX-154.wav	Autumn Mouzon	20250531			Female vocalist	
