Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Excerpt_duration_ms	Lyrics	Rhythmic_representation	Melodic_representation	Time_signature	Tempo_(approx.)	Spectral_Centroid	Spotify_URL	MP3_Path	Date_collected
EXCE-046	Screaming	Suicide Silence	Suicide Silence	24	Don't Be Careful You Might Hurt Yourself	2017	370166	13	4:20	2:37-2:41	3732.59	"""Let time stand still"""	4r 4 2 2 2	Contour: medium high high high	4/4	135	2554.698862	https://open.spotify.com/track/0pik84o7400PdotrJxzFbT?si=68ddbd4516c74b2b	excerpts_audio/EXCE-046.mp3	16/3/2025
EXCE-047	Screaming	Suicide Silence	Suicide Silence	24	Run	2017	387317	14	4:25	3:41-3:46	4963.36	"""Don't fucking run"""	4 6 6 6	Contour: medium high high high	4/4	120	2990.937436	https://open.spotify.com/track/6J2Yi426GriycUxtOzz0GW?si=9366256b682f42d9	excerpts_audio/EXCE-047.mp3	16/3/2025
EXCE-048	Screaming	Suicide Silence	Suicide Silence	24	"Hold Me up, Hold Me Down"	2017	568557	15	5:18	0:58-1:03	4410.2	"""Laughter is music to me"""	4 6 6 4r 4 4 4 4	Contour: high high high low high low high	4/4	200	2662.945087	https://open.spotify.com/track/0ALEU5TLR2FANldWTpEgrv?si=3e45b1820b384d5c	excerpts_audio/EXCE-048.mp3	16/3/2025
EXCE-049	Screaming	Suicide Silence	No Time to Bleed	44	Your Creations	2009	1275056	28	3:59	2:29-2:32	4281.36	"""Predators to prey"""	8 8 2 4 2	Contour: high high high medium medium	4/4	114	3046.773036	https://open.spotify.com/track/34Hhxk8vtVXDcdCJh0MEN8?si=e5f8617c5f91401f	excerpts_audio/EXCE-049.mp3	16/3/2025
EXCE-050	Screaming	Suicide Silence	No Time to Bleed	44	Something Invisible	2009	1629500	29	2:57	1:13-1:17	4306.46	"""something fucking invisible"""	4 4 8 8 8 8 8 4.	Contour:  high high high high high high high high	4/4	123	3057.905863	https://open.spotify.com/track/3Tsd3rMdsAtihHomXlaBzd?si=bb1508056c8f438d	excerpts_audio/EXCE-050.mp3	16/3/2025
EXCE-051	Screaming	Suicide Silence	No Time to Bleed	44	Suffer	2009	1598871	30	3:55	2:16-2:20	3431.79	"""And we'll continue to crush"""	8 8 8 6 6 6 4	Contour: high high high high high medium high	4/4	124	3265.892525	https://open.spotify.com/track/0YRGI02tjctwXgIE9w02ys?si=2a57727fa6ec41dc	excerpts_audio/EXCE-051.mp3	16/3/2025
EXCE-052	Screaming	Suicide Silence	The Black Crown	49	Cancerous Skies	2012	1573164	27	3:14	2:23-2:27	3617.23	"""it's tearing up my eyes"""	4 8 8 8 8 8 4	Contour: low low medium high high high	4/4	124	3496.794114	https://open.spotify.com/track/00YNI6Dix0wGj5iGPswrZr?si=2d1ee19492204d86	excerpts_audio/EXCE-052.mp3	16/3/2025
EXCE-053	Screaming	Suicide Silence	The Black Crown	49	Smashed	2012	2178704	30	3:06	1:50-1:54	4618.03	"""every grain of sand, I'll take it back"""	4 4 4 4 4 4 4 4 2	Contour: high high high medium high high high medium high	4/4	210	3158.034326	https://open.spotify.com/track/2ktZKla8jpoQVYPxDMuDKM?si=b0fe81aeb9c741d9	excerpts_audio/EXCE-053.mp3	16/3/2025
EXCE-054	Screaming	Suicide Silence	The Black Crown	49	Cross-Eyed Catastrophe	2012	2022297	29	3:25	0:55-0:59	3146.26	"""This is what happens when you open that door"""	8 4 4. 8 8 8r 8 4 8 4 4. 2.	Contour: high high medium high high medium high high high high high	3/4	211	3362.242655	https://open.spotify.com/track/70Ln0FAfZNxNJFr1WZqEqM?si=e2587435de0b4573	excerpts_audio/EXCE-054.mp3	16/3/2025
EXCE-055	Clean	Avenged Sevenfold	The Stage	49	Simulation	2016	10852194	36	5:30	2:32-2:38	5276.51	"""I've questioned all the voices in my head"""	1 8 4 4 4. 8 4 4 4. 1	a g# g# g# g# g g g gf#	4/4	188	3936.559741	https://open.spotify.com/track/6Rvy686uW4eJPHVCpQoV1G?si=d064c5d88e314f36	excerpts_audio/EXCE-055.mp3	19/3/2025
